TOKEN_NAME           | TOKEN_CODE      | TOKEN_VALUE                    | TOKEN_LINE_NUMBER   
TOKEN_CHAR           | 36              | A                              | 26                  
TOKEN_SEMI           | 4               | ;                              | 26                  
TOKEN_SINGLECOMMENT  | 39              | string                         | 28                  
TOKEN_CONST          | 53              | const                          | 29                  
TOKEN_DATATYPE       | 32              | string                         | 29                  
TOKEN_ID             | 0               | message                        | 29                  
TOKEN_OPERATOR       | 19              | =                              | 29                  
TOKEN_STRING         | 2               | Hello World                    | 29                  
TOKEN_SEMI           | 4               | ;                              | 29                  
TOKEN_SINGLECOMMENT  | 39              | void                           | 31                  
TOKEN_DATATYPE       | 32              | void                           | 32                  
TOKEN_ID             | 0               | myFunction                     | 32                  
TOKEN_LPAREN         | 5               | (                              | 32                  
TOKEN_RPAREN         | 6               | )                              | 32                  
TOKEN_LBRACE         | 8               | {                              | 32                  
TOKEN_RETURN         | 25              | return                         | 32                  
TOKEN_SEMI           | 4               | ;                              | 32                  
TOKEN_RBRACE         | 7               | }                              | 32                  
TOKEN_SINGLECOMMENT  | 39              | Arithmetic                     | 34                  
TOKEN_OPERATOR       | 19              | +                              | 35                  
TOKEN_OPERATOR       | 19              | -                              | 36                  
TOKEN_OPERATOR       | 19              | *                              | 37                  
TOKEN_OPERATOR       | 19              | /                              | 38                  
TOKEN_OPERATOR       | 19              | %                              | 39                  
TOKEN_OPERATOR       | 19              | **                             | 40                  
TOKEN_OPERATOR       | 19              | //                             | 41                  
TOKEN_SINGLECOMMENT  | 39              | Example Arithmetic             | 42                  
TOKEN_ID             | 0               | result                         | 43                  
TOKEN_OPERATOR       | 19              | =                              | 43                  
TOKEN_ID             | 0               | desktopPrice                   | 43                  
TOKEN_OPERATOR       | 19              | +                              | 43                  
TOKEN_ID             | 0               | laptopPrice                    | 43                  
TOKEN_SEMI           | 4               | ;                              | 43                  
TOKEN_SINGLECOMMENT  | 39              | Logical                        | 45                  
TOKEN_OPERATOR       | 19              | and                            | 46                  
TOKEN_OPERATOR       | 19              | or                             | 47                  
TOKEN_OPERATOR       | 19              | not                            | 48                  
TOKEN_SINGLECOMMENT  | 39              | Example Logical                | 49                  
TOKEN_IF             | 21              | if                             | 50                  
TOKEN_LPAREN         | 5               | (                              | 50                  
TOKEN_ID             | 0               | x                              | 50                  
TOKEN_OPERATOR       | 19              | >                              | 50                  
TOKEN_NUMBER         | 41              | 0                              | 50                  
TOKEN_OPERATOR       | 19              | and                            | 50                  
TOKEN_ID             | 0               | y                              | 50                  
TOKEN_OPERATOR       | 19              | <                              | 50                  
TOKEN_NUMBER         | 41              | 10                             | 50                  
TOKEN_RPAREN         | 6               | )                              | 50                  
TOKEN_SINGLECOMMENT  | 39              | Relational                     | 52                  
TOKEN_OPERATOR       | 19              | <                              | 53                  
TOKEN_OPERATOR       | 19              | <=                             | 54                  
TOKEN_OPERATOR       | 19              | >                              | 55                  
TOKEN_OPERATOR       | 19              | >=                             | 56                  
TOKEN_OPERATOR       | 19              | !=                             | 57                  
TOKEN_OPERATOR       | 19              | ==                             | 58                  
TOKEN_SINGLECOMMENT  | 39              | Example Relational             | 59                  
TOKEN_IF             | 21              | if                             | 60                  
TOKEN_LPAREN         | 5               | (                              | 60                  
TOKEN_ID             | 0               | age                            | 60                  
TOKEN_OPERATOR       | 19              | ==                             | 60                  
TOKEN_ID             | 0               | targetAge                      | 60                  
TOKEN_RPAREN         | 6               | )                              | 60                  
TOKEN_SINGLECOMMENT  | 39              | Assignment                     | 62                  
TOKEN_OPERATOR       | 19              | =                              | 63                  
TOKEN_OPERATOR       | 19              | +=                             | 64                  
TOKEN_OPERATOR       | 19              | -=                             | 65                  
TOKEN_OPERATOR       | 19              | *=                             | 66                  
TOKEN_OPERATOR       | 19              | /=                             | 67                  
TOKEN_OPERATOR       | 19              | %=                             | 68                  
TOKEN_SINGLECOMMENT  | 39              | Example Assignment             | 69                  
TOKEN_ID             | 0               | counter                        | 70                  
TOKEN_OPERATOR       | 19              | +=                             | 70                  
TOKEN_NUMBER         | 41              | 1                              | 70                  
TOKEN_SEMI           | 4               | ;                              | 70                  
TOKEN_SINGLECOMMENT  | 39              | Unary                          | 72                  
TOKEN_OPERATOR       | 19              | +                              | 73                  
TOKEN_OPERATOR       | 19              | -                              | 74                  
TOKEN_OPERATOR       | 19              | ++                             | 75                  
TOKEN_OPERATOR       | 19              | --                             | 76                  
TOKEN_OPERATOR       | 19              | !                              | 77                  
TOKEN_SINGLECOMMENT  | 39              | Example Unary                  | 78                  
TOKEN_DATATYPE       | 32              | int                            | 79                  
TOKEN_ID             | 0               | x                              | 79                  
TOKEN_OPERATOR       | 19              | =                              | 79                  
TOKEN_NUMBER         | 41              | 5                              | 79                  
TOKEN_SEMI           | 4               | ;                              | 79                  
TOKEN_DATATYPE       | 32              | int                            | 80                  
TOKEN_ID             | 0               | y                              | 80                  
TOKEN_OPERATOR       | 19              | =                              | 80                  
TOKEN_OPERATOR       | 19              | -                              | 80                  
TOKEN_ID             | 0               | x                              | 80                  
TOKEN_SEMI           | 4               | ;                              | 80                  
TOKEN_ID             | 0               | x                              | 81                  
TOKEN_OPERATOR       | 19              | ++                             | 81                  
TOKEN_SEMI           | 4               | ;                              | 81                  
TOKEN_DATATYPE       | 32              | bool                           | 82                  
TOKEN_ID             | 0               | flag                           | 82                  
TOKEN_OPERATOR       | 19              | =                              | 82                  
TOKEN_BOOL           | 38              | false                          | 82                  
TOKEN_SEMI           | 4               | ;                              | 82                  
TOKEN_ID             | 0               | print                          | 83                  
TOKEN_LPAREN         | 5               | (                              | 83                  
TOKEN_OPERATOR       | 19              | !                              | 83                  
TOKEN_ID             | 0               | flag                           | 83                  
TOKEN_RPAREN         | 6               | )                              | 83                  
TOKEN_SEMI           | 4               | ;                              | 83                  
TOKEN_SINGLECOMMENT  | 39              | Keywords                       | 85                  
TOKEN_IF             | 21              | if                             | 86                  
TOKEN_ELSE           | 22              | else                           | 87                  
TOKEN_ELIF           | 44              | elif                           | 88                  
TOKEN_WHILE          | 23              | while                          | 89                  
TOKEN_DO             | 24              | do                             | 90                  
TOKEN_FUNCTION       | 46              | function                       | 91                  
TOKEN_RETURN         | 25              | return                         | 92                  
TOKEN_TRY            | 29              | try                            | 93                  
TOKEN_CATCH          | 30              | catch                          | 94                  
TOKEN_BOOL           | 38              | true                           | 95                  
TOKEN_BOOL           | 38              | false                          | 96                  
TOKEN_BREAK          | 28              | break                          | 97                  
TOKEN_TRY            | 29              | try                            | 98                  
TOKEN_CATCH          | 30              | catch                          | 99                  
TOKEN_BOOL           | 38              | true                           | 100                 
TOKEN_BOOL           | 38              | false                          | 101                 
TOKEN_BREAK          | 28              | break                          | 102                 
TOKEN_SINGLECOMMENT  | 39              | Reserved words                 | 104                 
TOKEN_RESERVEDWORDS  | 31              | lambda                         | 105                 
TOKEN_RESERVEDWORDS  | 31              | in                             | 106                 
TOKEN_RESERVEDWORDS  | 31              | is                             | 107                 
TOKEN_RESERVEDWORDS  | 31              | finally                        | 108                 
TOKEN_RESERVEDWORDS  | 31              | raise                          | 109                 
TOKEN_SINGLECOMMENT  | 39              | Noise words                    | 111                 
TOKEN_LOOP           | 47              | loop                           | 112                 
TOKEN_TERMINATE      | 51              | terminate                      | 113                 
TOKEN_TERMINATEALL   | 52              | terminateall                   | 114                 
TOKEN_PRINTOUT       | 49              | printout                       | 115                 
TOKEN_CHECK          | 43              | check                          | 116                 
TOKEN_OTHERWISE      | 48              | otherwise                      | 117                 
TOKEN_ENDLOOP        | 45              | endloop                        | 118                 
TOKEN_SINGLECOMMENT  | 39              | this is a single comment       | 120                 
TOKEN_MULTICOMMENT   | 40              |  this is \n multi \n line \n comments  | 121                 
TOKEN_SINGLECOMMENT  | 39              | Blank Spaces                   | 126                 
TOKEN_DATATYPE       | 32              | int                            | 127                 
TOKEN_ID             | 0               | a                              | 127                 
TOKEN_OPERATOR       | 19              | =                              | 127                 
TOKEN_ID             | 0               | b                              | 127                 
TOKEN_BLANK          | 54              | \s                             | 127                 
TOKEN_BLANK          | 54              | \t                             | 127                 
TOKEN_BLANK          | 54              | \n                             | 127                 
TOKEN_OPERATOR       | 19              | +                              | 127                 
TOKEN_NUMBER         | 41              | 5                              | 127                 
TOKEN_SEMI           | 4               | ;                              | 127                 
TOKEN_SINGLECOMMENT  | 39              | Delimiter and Bracket          | 129                 
TOKEN_LPAREN         | 5               | (                              | 130                 
TOKEN_RPAREN         | 6               | )                              | 130                 
TOKEN_LBRACE         | 8               | {                              | 131                 
TOKEN_RBRACE         | 7               | }                              | 131                 
TOKEN_LBRACKET       | 9               | [                              | 132                 
TOKEN_RBRACKET       | 10              | ]                              | 132                 
TOKEN_COMMA          | 11              | ,                              | 133                 
TOKEN_SEMI           | 4               | ;                              | 134                 
